base_score,booster,colsample_bylevel,colsample_bytree,eta,eval_metric,gamma,learning_rate,max_delta_step,max_depth,min_child_weight,missing,n_estimators,nthread,objective,reg_alpha,reg_lambda,scale_pos_weight,seed,silent,subsample,verbosity,pca_components,model,auc
0.2,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,5.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8979843759176707
0.5,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8978404107327099
0.5,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.2,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.89767263093991
0.5,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.5,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8976158477506491
0.5,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,1.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.897718934478019
0.5,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,5.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8980452619090528
1.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8979152027418874
1.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.2,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8980031087614907
1.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.5,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8978857489056141
1.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,1.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8978742936917374
1.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,5.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8978502207467303
5.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.89781616782904
5.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.2,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8978633007654238
5.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,0.5,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8979397209785912
5.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,1.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8979592832206862
5.0,0.5,gbtree,1,1.0,0.1,"['error', 'logloss', 'auc']",0.0,5.0,0.1,0,1,8,,100,1,binary:logistic,0,1,9,0,0,0.8,0,200,reg.model,0.8978470969065069
