base_score,booster,colsample_bylevel,colsample_bytree,eta,eval_metric,gamma,learning_rate,max_delta_step,max_depth,min_child_weight,missing,n_estimators,nthread,objective,reg_alpha,reg_lambda,scale_pos_weight,seed,silent,subsample,verbosity,pca_components,model,auc
0.01,0.5,gbtree,1,0.8,0.005,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,1,42,0,0.6,0,200,alpha.model,0.865864364108399
0.01,0.5,gbtree,1,0.8,0.2,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,9,42,0,0.6,0,200,unbalanced.model,0.8701342627887657
0.01,0.5,gbtree,1,0.8,0.08,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,9,42,0,0.6,0,200,unbalanced.model,0.872294498578809
0.01,0.5,gbtree,1,0.8,0.06,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,9,42,0,0.6,0,200,unbalanced.model,0.8723662347312282
0.01,0.5,gbtree,1,0.8,0.04,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,9,42,0,0.6,0,200,unbalanced.model,0.8726570543984178
0.01,0.5,gbtree,1,0.8,0.02,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,9,42,0,0.6,0,200,unbalanced.model,0.873463525249545
0.01,0.5,gbtree,1,0.8,0.2,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,9,42,0,0.6,0,200,last.model,0.8921704809662241
0.01,0.5,gbtree,1,0.8,0.08,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,9,42,0,0.6,0,200,last.model,0.8967603030352082
0.01,0.5,gbtree,1,0.8,0.04,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,9,42,0,0.6,0,200,last.model,0.897523675768608
0.01,0.5,gbtree,1,0.8,0.005,"['error', 'logloss', 'auc']",0,0.1,0,2,10,,100,1,binary:logistic,0,1,9,42,0,0.6,0,200,last.model,0.8984768345424748
